date,time,longitude,latitude,attack_type,location_description,nearest_country,eez_country,shore_distance,shore_longitude,shore_latitude,attack_description,vessel_name,vessel_type,vessel_status,data_source
2020-01-07,20:15 UTC,104.27083333333333,1.2722222222222221,Boarded,Singapore Straits,MYS,IDN,9.991522599663133,104.21924889400003,1.3461774760000935,"07.01.2020: 2015 UTC: Posn: 01:16.20N – 104:16.15E, Singapore Straits.
Duty motorman on routine engine room rounds, onboard a product tanker underway, noticed an unauthorized person armed with a knife in the steering gear room. As the motorman challenged the person, a second person was noticed escaping towards the poop deck. Alarm raised. Incident reported to Singapore VTIS. On searching the tanker, nothing was reported stolen.","NA",Product Tanker,"NA",imb
2020-01-07,01:30 UTC,72.28722222222223,21.403333333333332,Boarded,Alang Anchorage,IND,IND,8.349976991089425,72.21989993600005,21.44472890800006,"07.01.2020: 0130 UTC: Posn: 21:23.90N – 072:17.14E, Alang Anchorage, India.
While anchored, persons in a small boat approached and boarded a barge, stole some scrap metal and escaped. Master noticed the persons and reported the incident to the Authorities who managed to apprehend the thieves.","NA",Offshore Supply Ship,Anchored,imb
2020-01-13,00:04 UTC,40.71527777777778,-14.369166666666667,Boarded,Nacala Anchorage,MOZ,MOZ,2.2839183139745534,40.69516035200007,-14.362725518999923,"13.01.2020: 0004 UTC: Posn: 14:22.91S – 040:42.55E, Nacala Anchorage, Mozambique.
Duty watchman during rounds on deck noticed two robbers armed with long knives approaching him. He immediately informed the duty officer who raised the alarm and alerted other crew. Upon inspection it was discovered that a mooring rope was missing from the forward store.","NA",Container,"NA",imb
2020-01-16,12:00 UTC,119.07875061035156,5.486818520017563,Boarded,"Around 4nm NW of Tambisan, Lahad Datu",MYS,MYS,8.545493883872489,119.08570397200003,5.409857489000046,"16.01.2020: Around 1200 UTC: Around 4nm NW of Tambisan, Lahad Datu, Malaysia.
A fishing vessel was attacked by six armed persons in a grey coloured speed boat. Malaysian Authorities managed to locate and intercept the fishing vessel. Three crews were found safe on the vessel. The remaining five crews were reported kidnapped.","NA",Fishing Vessel,"NA",imb
2020-01-16,20:57 UTC,6.67,3.6333333333333333,Fired Upon,Around 52nm SW of Bonny,NGA,NGA,77.33251285943334,6.6185001960000704,4.330755927000041,"16.01.2020: 2057 UTC: Posn: 03:38.0N – 006:40.2E, Around 52nm SW of Bonny, Nigeria.
Five armed pirates in a small craft approached a tanker underway. Alarm raised and evasive manoeuvres commenced. Armed security team onboard the tanker fired warning shots resulting in the pirates returning fire and then aborting the approach and moving away.","NA",Product Tanker,"NA",imb
2020-01-17,"NA",3.31787109375,6.293458760394113,Attempted,Lagos Secure Anchorage Area (SAA),NGA,NGA,10.87281774061261,3.326182488000086,6.391424872000073,"17.01.2020: Early Morning Hrs: Posn: Lagos Secure Anchorage Area, Nigeria.
Robbers in a small boat approached an anchored tanker during STS cargo operations. Two of the robbers attempted to board the tanker via the anchor chain. Duty crew on routine rounds noticed the robbers and raised the alarm. Crew mustered and patrol boat informed. Seeing the alerted crew, the robbers aborted the attempted boarding and escaped in their boat. Authorities notified.","NA",Tanker,Anchored,imb
2020-01-19,20:10 UTC,2.297222222222222,5.141666666666667,Boarded,Around 73nm South of Cotonou,BEN,BEN,129.8403988949118,2.226817254000082,6.313666083000044,"19.01.2020: 2010 UTC: Posn: 05:08.3N – 002:17.9E, Around 73nm South of Cotonou, Benin.
Two pirates armed with AK47 rifles in a boat approached and boarded a drifting container ship. Alarm raised, deck lights switched off, accommodation locked down and engines started and headed towards Tema. Ghana navy was notified and requested to board to search the vessel on arrival. All crew safe. Nothing reported stolen.","NA",Container,"NA",imb
2020-01-19,05:00 UTC,-75.52805555555555,10.317222222222222,Boarded,Cartagena Anchorage,COL,COL,0.8524762340235329,-75.52725175699993,10.30955638200004,"19.01.2020: 0500 UTC: Posn: 10:19.02N – 075:31.41W, Cartagena Anchorage, Colombia. 
Two robbers armed with a machete were seen on the forecastle of  an anchored tanker. Alarm raised and crew mustered. Seeing the alerted crew the robbers escaped. Incident reported to the Coast Guard who board the vessel. Nothing was reported stolen.","NA",LPG Tanker,Anchored,imb
2020-01-20,21:45 UTC,104.1457986831665,1.0841056485083254,Boarded,Kabil Anchorage,IDN,IDN,3.963301053566461,104.15170332100007,1.1194522160000702,"20.01.2020: 2145 UTC: Posn: Kabil Anchorage, Pulau Batam, Indonesia.
While anchored, a product tanker was boarded by two robbers. While they were stealing ship’s properties the crew noticed the robbers and managed to apprehend one of the robbers. The other robber escaped in a waiting boat along with two other accomplices. The crew handed over the robber to the Indonesian Marine Police who boarded the vessel for investigations.","NA",Product Tanker,Anchored,imb
2020-01-21,08:35 UTC,5.748055555552228,4.1,Fired Upon,Around 19nm SW of Bayelsa,NGA,NGA,33.64189577322302,5.889903191000087,4.368841864000046,"21.01.2020: 0835 UTC: Posn: 04:05.62N - 005:44.52E, Around 19nm SW of Bayelsa, Nigeria.
Around 15 armed persons in a speed boat chased and fired upon a container vessel underway. Alarm raised and the non-essential crew took shelter in the citadel. The vessel increased speed and the armed naval guard onboard returned fire, resulting in the skiff aborting the attack and moving away. Vessel and crew safe.","NA",Container,"NA",imb
2020-01-25,00:50 UTC,3.3313888888888887,6.291944444444445,Boarded,Lagos Anchorage,NGA,NGA,11.016395320249126,3.326182488000086,6.391424872000073,"25.01.2020: 0050 UTC: Posn: 06:16.91N – 003:19.53E, Lagos Anchorage, Nigeria.
Duty crew onboard an anchored tanker carrying out STS operations noticed an unauthorised person near the forecastle. Alarm sounded. Seeing the alerted crew the person jumped overboard and escaped with his accomplices in a wooden boat. A naval patrol boat arrived at the location, searched the waters around the tanker and remained close to the tanker until daybreak. Nothing reported stolen. Crew and vessel safe.","NA",Product Tanker,Anchored,imb
2020-01-26,03:24 UTC,98.75666666666666,3.9469444444444446,Boarded,Belawan Anchorage,IDN,IDN,9.584654559136801,98.67661980100007,3.9145469330000537,"26.01.2020: 0324 UTC: Posn: 03:56.49N – 098:45.24E, Belawan Anchorage, Indonesia.
Deck watchmen on routine rounds onboard an anchored tanker noticed the forward storeroom broken into and ships properties missing. On searching the area, footsteps were noticed on the forecastle and it was assumed that the thieves gained access via the anchor chain.","NA",Chemical Tanker,Anchored,imb
2020-01-27,18:10 UTC,104.11805555555556,1.2513888888888889,Boarded,Singapore Straits,IDN,IDN,7.038009616686872,104.10320071700005,1.1895205750000741,"27.01.2020: 1810 UTC: Posn: 01:15.5N - 104:07.5E, Singapore Straits.
Two robbers armed with knives boarded a bulk carrier underway. Duty crew spotted the robbers. Alarm raised and crew mustered. Seeing the crew alertness, the robbers escaped with ship’s engine spares. Incident reported to VTIS.","NA",Bulk Carrier,"NA",imb
2020-01-28,08:18 UTC,-77.18333333333334,-12.25,Boarded,Callao Anchorage,PER,PER,14.83457498152155,-77.18154080399995,-12.115912219999927,"28.01.2020: 0818 UTC: Posn: 12:00.15S – 077:10.59W, Callao Anchorage, Peru.
Two unauthorised persons from two skiffs came alongside and boarded an anchored tanker. Duty watchman on security rounds noticed the persons on the forecastle deck. Alarm raised and crew mustered. Seeing the alerted crew, the persons jumped overboard and escaped. Port Authorities notified. Nothing reported stolen.","NA",Product Tanker,Anchored,imb
2020-01-29,03:00 UTC,7.151111111111111,4.683888888888889,Boarded,"FOT, Onne Port",NGA,NGA,2.5440836382010565,7.158213738000086,4.662014065000051,"29.01.2020: 0300 UTC: Posn: 04:41.2N - 007:09.4E, Onne Port, Nigeria.
Duty AB onboard a berthed offshore supply vessel noticed an unauthorised person on deck. Alarm raised and hearing the alerted crew, the person escaped with stolen ship's properties. Incident reported to Port Authority and a search was carried out.","NA",Offshore Supply Ship,Berthed,imb
2020-02-01,01:30 UTC,3.3169444444444443,6.251944444444445,Boarded,Lagos Anchorage,NGA,NGA,15.458656130603606,3.326182488000086,6.391424872000073,"01.02.2020: 0130 UTC: Posn: 06:15.7N – 003:19.1E, Lagos Anchorage, Nigeria.
Two robbers in a boat boarded an anchored tanker. They tried to seize the duty AB on routine rounds, who managed to escape. Alarm raised. Hearing the alerted crew, the robbers escaped without stealing anything. Incident reported to Nigerian Navy. A patrol boat was dispatched to the location.","NA",Tanker,Anchored,imb
2020-02-02,21:20 UTC,103.91055555555556,1.0747222222222221,Boarded,"Around 0.4nm SW of PT Dharma Sentosa Marindo Yard, Pulau Batam",IDN,IDN,0.5408466687879685,103.90674889400003,1.0716820330000587,"02.02.2020: 2120 UTC: Posn: 01:03.89N – 103:53.98E, Around 0.4nm SW of PT Dharma Sentosa Marindo Yard, Pulau Batam, Indonesia.
Alert crew onboard a tug moored to a buoy noticed three robbers on deck and raised the alarm. The crew confronted the robbers who were able to escape with the assistance of two of their accomplices waiting in their boat. Incident reported to the police who boarded the tug for investigations. A search was carried out. It was noticed the padlock to the storeroom was damaged and ship’s equipment stolen. All crew safe.","NA",Tug,"NA",imb
